,mSOL_USD,SOL_USD,PAIN_USD,SOL_USD,JitoSOL_USD,SOL_USD,VIRTUAL_USD,SOL_USD
mSOL_USD,1.0,0.9999917417159719,0.7311419829947842,0.9999120455420104,0.9995295203564514,0.9995282598548377,0.47422211291282557,0.9999546324260536
SOL_USD,0.9999917417159719,1.0,0.7312188897507016,0.999918853850621,0.9995118006771592,0.9995290903639037,0.47321269395080745,0.9999652534122029
PAIN_USD,0.7311419829947842,0.7312188897507016,1.0,0.7314657847331457,0.7305343601142276,0.7315182649119281,0.0422348784978708,0.7311800272291357
SOL_USD,0.9999120455420104,0.999918853850621,0.7314657847331457,1.0,0.9995311574843935,0.9995475431400199,0.4735227074115398,0.999932159836847
JitoSOL_USD,0.9995295203564514,0.9995118006771592,0.7305343601142276,0.9995311574843935,1.0,0.9999836303889327,0.47468058280971903,0.9994874835963847
SOL_USD,0.9995282598548377,0.9995290903639037,0.7315182649119281,0.9995475431400199,0.9999836303889327,1.0,0.47282422120278816,0.9995069914803832
VIRTUAL_USD,0.47422211291282557,0.47321269395080745,0.0422348784978708,0.4735227074115398,0.47468058280971903,0.47282422120278816,1.0,0.47300152035181176
SOL_USD,0.9999546324260536,0.9999652534122029,0.7311800272291357,0.999932159836847,0.9994874835963847,0.9995069914803832,0.47300152035181176,1.0
